テーマＩＤ,問題ＩＤ,タイトル,問題本文,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
1,19,電気事業法施行規則第５０条,電気事業法施行規則第５０条より#需要設備の保安規程は次の事項を定めるものとする。λ①事業用電気工作物の工事、維持又は運用に関する業務を管理する者の職務及び{1}に関すること。λ②事業用電気工作物の工事、維持又は運用に従事する者に対する{2}に関すること。λ③事業用電気工作物の工事、維持及び運用に関する保安のための巡視、{3}及び検査に関すること。λ④事業用電気工作物の運転又は{4}に関すること。λ⑤発電所の運転を相当期間停止する場合における{5}の方法に関すること。λ⑥災害その他非常の場合に採るべき{6}に関すること。λ⑦事業用電気工作物の工事、維持及び運用に関する保安についての{7}に関すること。λ⑧事業用電気工作物の法定事業者検査又は使用前自己確認に係る{8}及び記録の保存に関すること。λ⑨その他事業用電気工作物の工事、維持及び運用に関する保安に関し必要な事項,組織/業務/保安,保安教育/保安規程/保安規則,点検/調査/結果,操作/誤操作/操縦,保全/保安/保守,措置/行動,記録/記事/記載,実施体制/実施業務,,
1,20,電気事業法第４３条,電気事業法第４３条より#事業用電気工作物を{1}は、事業用電気工作物の工事、維持及び運用に関する保安の{2}をさせるため、主任技術者を選任しなければならない。また、{3}を{1}は、主務大臣の許可を受けて、主任技術者免状の交付を受けていない者を主任技術者として選任することができる。λ（補足）選任する者の所有する電気工事士資格や設備の規模等により許可の基準が定められている。,設置する者/管理する者/運用する者/販売する者,監督/監視/管理,自家用電気工作物/一般用電気工作物/事業用電気工作物,,,,,,,
1,21,電気事業法第４３条,電気事業法第４３条より#主任技術者は、事業用電気工作物の工事、維持及び運用に関する保安の監督の職務を{1}に行わなければならない。事業用電気工作物の工事、維持又は運用に従事する者は、主任技術者がその保安のためにする{2}に従わなければならない。,誠実/確実/忠実,指示/命令/指導,,,,,,,,
1,22,電気事業法施行規則第５６条,電気事業法施行規則第５６条より#主任技術者の監督範囲は次のとおり。λ①第１種電気主任技術者は、すべての事業用電気工作物の工事、維持及び運用。λ②第２種電気主任技術者は、電圧{1}[V]未満の事業用電気工作物の工事、維持及び運用。λ③第３種電気主任技術者は、電圧{2}[V]未満かつ発電所においては出力{3}[kW]未満の事業用電気工作物の工事、維持及び運用。λただし、①～③において第１種ダム水路主任技術者及び第１種ボイラー・タービン主任技術者の監督範囲は除かれる。,17万/20万/25万/27万,５万/１０万/１７万/５０万,5000/50000/1000/10000,,,,,,,
1,23,電気事業法第４８条,電気事業法第４８条（工事計画の事前届出）より#事業用電気工作物の工事であって、主務省令で定めるものをしようとする者は、その工事の計画を主務大臣に届け出なければならない。λまた、その届出が受理された日から{1}を経過した後でなければ、その届出に係る工事を開始してはならない。,３０日/１０日/３１日,,,,,,,,,
1,24,電気事業法施行規則の別表第２,電気事業法施行規則の別表第２より#需要設備における工事計画の事前届出を要する工事の例は次のとおり。λ①受電電圧{1}[V]以上の需要設備の設置の工事λ②変更の工事であって次の設備に係るもの。λ〇他の者が設置する電気工作物と{2}に接続するための電圧{3}以上の遮断器の設置、取替、{3}以上の遮断電流の変更を伴う改造の工事。λ〇電圧{1}[V]以上であって容量１万[kVA]以上の変圧器の設置、取替、{3}以上の容量の変更を伴う改造の工事。,１万/５万/7000/１７万,電気的/物理的,20%/10%/30%/50%,１万/５万/7000/１７万,,,,,,
1,25,電気事業法施行規則の別表第２,電気事業法施行規則の別表第２より#太陽電池における工事計画の事前届出を要する工事の例は次のとおり。λ①出力{1}[kW]以上の太陽電池の設置、取替、{2}以上の電圧の変更若しくは支持物の{3}の変更を伴う改造の工事。λ②出力{1}[kW]以上の太陽電池の修理であって、支持物の{3}に影響を及ぼすもの。,2000/1000/500/50,20%/10%/30%/50%,強度/構造/外観/材質,,,,,,,
1,26,電気事業法第５６条,電気事業法第５６条より#{1}は、{2}が経済産業省令で定める技術基準に適合していないと認めるときは、その所有者又は{3}に対し、その技術基準に適合するように一般用電気工作物を修理し、改造し、若しくは移転し、若しくはその使用を一時停止すべきことを命じ、又はその使用を{4}することができる。,経済産業大臣/所轄産業保安#監督部長,一般用電気工作物/事業用電気工作物/自家用電気工作物,占有者/管理者,制限/停止勧告,,,,,,
1,27,電気工事士法第１条,電気工事士法第１条より#この法律は、電気工事の作業に従事する者の資格及び{1}を定め、もって電気工事の{2}による{3}の発生の防止に寄与することを目的とする。,義務/責任,欠陥/不良,災害/感電/火災,,,,,,,
1,29,電気工事士法第４条,電気工事士法第４条より#第１種電気工事士は、第１種電気工事士免状の交付を受けた日から{1}に、{2}の保安に関する講習を受けなければならない。,５年以内/３年以内/１年以内/７年以内,自家用電気工作物/一般用電気工作物/事業用電気工作物,,,,,,,,
1,30,電気工事業法第１条,電気工事業法第１条より#電気工事業の業務の適正化に関する法律（これを「電気工事業法」という。）は、電気工事業を営む者の{1}及びその業務の{2}を行うことにより、その業務の{3}な実施を確保し、もって一般用電気工作物及び自家用電気工作物の保安の確保に資することを目的とする。,登録/届出/職務,規制/制限/監督/管理,適正/合理的/円滑,,,,,,,
1,31,電気工事業法第１９条,電気工事業法第１９条より#{1}は、その一般用電気工事の業務を行う営業所毎に、一般用電気工事の作業を管理させるため、第１種電気工事士又は{2}の実務経験を有する第２種電気工事士を、主任電気工事士として、置かなければならない。,登録電気工事業者/通知電気工事業者,３年以上/５年以上/７年以上,,,,,,,,
1,32,電気工事業法第２０条,電気工事業法第２０条より#主任電気工事士は、一般用電気工事による危険及び{1}が発生しないように一般用電気工事の作業の管理の職務を{2}に行わなければならない。,障害/欠陥/不良工事,誠実/確実/合理的/効率的,,,,,,,,
1,33,電気用品安全法第１条,電気用品安全法第１条より#この法律は、電気用品の製造、{1}等を規制するとともに、電気用品の安全性の確保につき民間事業者の{2}な活動を促進することにより、電気用品による{3}の発生を防止することを目的とする。,販売/開発/宣伝,自主的/合理的/経済的/効率的,危険及び障害/感電及び火災,,,,,,,
1,34,電気用品安全法第２条,電気用品安全法第２条より#この法律において「電気用品」とは、次のものをいう。λ①一般用電気工作物の部分となり、又はこれに接続して用いられる機械、器具又は{1}であって、政令で定めるものλ②{2}発電機であって、政令で定めるものλ③{3}であって、政令で定めるもの,材料/配線/電線,携帯発電機/非常用発電装置,蓄電池/乾電池,,,,,,,
1,35,電気用品安全法第２条,電気用品安全法第２条より#この法律において「特定電気用品」とは、{1}又は使用方法、その他の使用状況からみて特に危険又は｛２｝の発生するおそれが多い電気用品であって、政令で定めるものをいう。,構造/用途/使用電圧,障害/火災/感電,,,,,,,,
1,36,電気用品安全法第３条,電気用品安全法第３条より#電気用品の製造又は{1}の事業を行う者は、事業開始の日から{2}以内に、諸事項を経済産業大臣に{3}なければならない。なお、前項の{3}をした者を「{3}事業者」という。,輸入/輸出/開発/宣伝,３０日/１０日/２０日/９０日,届出/登録,,,,,,,
1,37,電気用品安全法第２７条,電気用品安全法第２７条より#電気用品の製造、{1}又は販売の事業を行う者は、同法の規定による{2}マークが付されているものでなければ、電気用品を販売し、又は販売の目的で{3}してはならない。,輸入/輸出/開発/宣伝,ＰＳＥ/ＪＩＳ/ＪＥＴ/ＤＹＭ,陳列/宣伝/紹介,,,,,,,
1,38,電気関係報告規則第３条,電気関係報告規則第３条より#{1}又は自家用電気工作物を設置する者は、報告対象の事故が発生したときは、事故の発生を知った時から{2}以内、可能な限り速やかに事故の発生の日時及び場所、事故が発生した電気工作物並びに事故の概要について、電話等の方法により報告する。事故の発生を知った日から起算して{3}以内に電気事故の報告書を提出する。,電気事業者/送配電事業者/発電事業者/送電事業者,２４時間/４８時間/１２時間/６時間,３０日/２０日/１０日/７日,,,,,,,
1,39,電気関係報告規則第３条,電気関係報告規則第３条より#{1}への報告対象（1/2）λ①人が死傷した事故ただし、死亡又は病院等に{2}した場合に限る。λ②電気火災事故ただし、工作物にあっては、{3}以上の場合に限る。λ③他の物件に損傷を与え、又はその機能の全部又は一部を損なわせた事故λ④送配電事業の用に供する電気工作物と電気的に接続されている電圧{4}[V]以上の自家用電気工作物の破損又は自家用電気工作物の誤操作若しくは自家用電気工作物を{5}により{6}又は{7}に供給支障を発生させた事故λ⑤電気工作物に係る{8}に影響を及ぼした事故,所轄産業保安#監督部長/経済産業大臣,入院/通院,半焼/部分焼/ボヤ,3000/6000/10000,操作しないこと/操作すること,一般送配電事業者/発電事業者,特定送配電事業者/発電事業者,社会的/経済的,,
1,40,電気関係報告規則第３条,電気関係報告規則第３条より#{1}への報告対象（2/2）次に掲げるものに属する主要電気工作物の破損事故λ①出力{2}[kW]未満の水力発電所λ②汽力を原動力とする火力発電所λ③出力{3}[kW]以上のガスタービンを原動力とする火力発電所λ④出力{4}[kW]以上の内燃力を原動力とする火力発電所λ⑤出力{5}[kW]以上の燃料電池発電所λ⑥出力{6}[kW]以上の太陽電池発電所λ⑦出力{7}[kW]以上の風力発電所λ⑧電圧{8}[V]以上の需要設備,所轄産業保安#監督部長/経済産業大臣,９０万/８０万/１００万/５０万,1000/2000/500/5000,10000/5000/2000/1000,500/50/1000/2000,50/20/500/2000,20/50/500/2000,10000/6000/3000/50000,,
