テーマＩＤ,問題ＩＤ,,タイトル,問題本文,解説,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
1,14,,電気事業法の定義（5e）,自らが*維持*し、及び*運用*する*送電用及び配電用*の電気工作物によりその*供給区域*において*託送供給*及び*電力量調整供給*を行う事業を何という？,電気事業法第2条（定義）より,一般送配電事業/一般供給事業/特定送配電事業/特定供給事業,,,,,,,,,
1,15,1,電気事業法の定義（5f）,「*一般送配電事業者*」とは、*一般送配電事業*を営むことについて{1}をいう。,電気事業法第2条（定義）より,経済産業大臣に#許可を受けた者/経済産業大臣の#登録を受けた者/経済産業大臣に#届出した者/経済産業大臣に#認可を受けた者,,,,,,,,,
1,16,,電気事業法の定義（6a）,「*送電事業*」とは、自らが*維持*し、及び{1}する*送電用*の*電気工作物*により{2}に{3}を行う事業をいう。,電気事業法第2条（定義）より!ただし、*一般送配電事業*に該当する部分を除く。,運用/運転/管理/施工,一般送配電事業者/他の送電事業者/特定送配電事業者/発電事業者,振替供給/接続供給/託送供給/直流送電,,,,,,,
1,17,,電気事業法の定義（6b）,「*送電事業者*」とは、*送電事業*を営むことについて{1}をいう。,電気事業法第2条（定義）より,経済産業大臣に#許可を受けた者/経済産業大臣の#登録を受けた者/経済産業大臣に#届出した者/経済産業大臣に#認可を受けた者,,,,,,,,,
1,18,,電気事業法の定義（6c）,自らが*維持*し、及び*運用*する*送電用*の*電気工作物*により*一般送配電事業者*に*振替供給*を行う事業を何という？,電気事業法第2条（定義）より!ただし、*一般送配電事業*に該当する部分を除く。,送電事業/特定送配電事業/供給事業/特定供給事業,,,,,,,,,
1,19,,電気事業法の定義（7a）,「*特定送配電事業*」とは、自らが*維持*し、及び*運用*する*送電用*及び*配電用*の電気工作物により{1}において{2}を行う事業をいう。,電気事業法第2条（定義）より!ただし、*発電事業*に該当する部分を除く。,特定の供給地点/その供給区域/特定の供給区域/その供給地点,小売供給又は#託送供給/振替供給又は#接続供給/発電又は#託送供給/送電又は配電,,,,,,,,
1,20,,電気事業法の定義（7b）,「*特定送配電事業者*」とは、*特定送配電事業*を営むことについて{1}をいう。,電気事業法第2条（定義）より,経済産業大臣に#届出した者/経済産業大臣に#許可を受けた者/経済産業大臣の#登録を受けた者/経済産業大臣に#認可を受けた者,,,,,,,,,
1,21,,電気事業法の定義（7c）,自らが*維持*し、及び*運用*する*送電用*及び*配電用*の電気工作物により*特定の供給地点*において*小売供給*又は*託送供給*を行う事業を何という？,電気事業法第2条（定義）より!ただし、*発電事業*に該当する部分を除く。,特定送配電事業/特別配電事業/特定供給事業/特別供給事業,,,,,,,,,
1,22,,電気事業法の定義（8a）,「*発電事業*」とは、自らが*維持*し、及び*運用*する*発電用*の電気工作物を用いて{1}する事業をいう。,電気事業法第2条（定義）より!ただし、その事業の用に供する*発電用の電気工作物*が*経済産業省令*で定める*要件*に該当するものをいう。,電気を発電/電力を供給/電源を融通/電力を調整,,,,,,,,,
1,23,,電気事業法の定義（8b）,「*発電事業者*」とは、*発電事業*を営むことについて{1}をいう。,電気事業法第2条（定義）より,経済産業大臣に#届出した者/経済産業大臣に#許可を受けた者/経済産業大臣の#登録を受けた者/経済産業大臣に#認可を受けた者,,,,,,,,,
1,24,,電気事業法の定義（8c）,自らが*維持*し、及び*運用*する*発電用*の電気工作物を用いて*電気を発電する事業*を何という？,電気事業法第2条（定義）より,発電事業/電源事業/供給事業/起電事業,,,,,,,,,
1,25,,電気事業法の定義（9）,*小売電気事業*、*一般送配電事業*、*送電事業*、*特定送配電事業*及び*発電事業*を総称して何という？,電気事業法第2条（定義）より,電気事業/電気関係事業/電源事業/発送配電事業,,,,,,,,,
1,26,,電気事業法の定義（10a）,*発電*、*変電*、*送電*若しくは*配電*又は*電気の使用*のために設置する*機械*、*器具*、*ダム*、*水路*、*貯水池*、*電線路*その他の工作物を何という？,電気事業法第2条（定義）より!ただし、*船舶*、*車両*又は*航空機*に設置されるものその他の*政令で定めるもの*を*除く*。,電気工作物/電気設備/電力工作物/電力設備,,,,,,,,,
1,27,,電気事業法の定義（10b）,「*電気工作物*」とは、*発電*、*変電*、*送電*若しくは*配電*又は{1}のために設置する*機械*、*器具*、*ダム*、*水路*、*貯水池*、*電線路*その他の工作物をいう。,電気事業法第2条（定義）より!ただし、*船舶*、*車両*又は*航空機*に設置されるものその他の*政令で定めるもの*を*除く*。,電気の使用/電気の受電/電気の変成,,,,,,,,,
1,28,,小売電気事業者の義務,*小売電気事業者*は、*正当な理由*がある場合を除き、その*小売供給*の相手方の*電気の需要*に応ずるために必要な{1}を*確保*しなければならない。,電気事業法第2条の12（供給能力の確保）より,供給能力/配電能力/配電設備/供給設備,,,,,,,,,
1,29,,一般送配電事業者の義務（1）,*一般送配電事業者*は、*正当な理由*がなければ、その*供給区域*における{1}を拒んではならない。,電気事業法第17条（託送供給義務等）より,託送供給/振替供給/接続供給/小売供給,,,,,,,,,
1,30,,一般送配電事業者の義務（2）,*一般送配電事業者*は、その{1}を行うために*{2}を確保*しなければならないこととなるおそれがあるときその他*正当な理由*がなければ、その*供給区域*における{1}を拒んではならない。,電気事業法第17条（託送供給義務等）より,電力量調整供給/託送供給/振替供給/接続供給,過剰な#供給能力/必要以上の#供給能力,,,,,,,,
1,30a,1,一般送配電事業者の義務（3）,*一般送配電事業者*は、その*供給する電気*の*{1}の値*を、その電気を{2}において規定する値に*維持*するように*努めなければならない*。,電気事業法第26条（電圧及び周波数）より,電圧及び周波数/電圧/周波数/最大電力,供給する場所/使用する場所/変成する場所/昇圧する場所,,,,,,,,
1,30b,1,一般送配電事業者の義務（4）,*一般送配電事業者*が*維持*するように努めなければならない*電圧及び周波数の値*は次のとおり。!*標準電圧100V*は#{1}*V*を*超えない値*!*標準電圧200V*は#{2}*V*を*超えない値*!*周波数*は、その者が供給する電気の{3}*値*とする,電気事業法第26条（電圧及び周波数）より,101±6/102±6/100±10/100±5,202±20/200±20/200±10/220±20,標準周波数に等しい/標準周波数の#±1.0Hzを超えない/標準周波数の#±0.5Hzを超えない/標準周波数の#±3.0Hzを超えない,,,,,,,
1,31,,電気事業者相互の協調,*電気事業者*は、*電源開発の実施*、*電気の供給*、*電気工作物の運用*等その事業の遂行に当たり、{1}による*{2}の確保*その他の*電気事業*の*総合的*かつ*合理的*な*発達*に資するように、同条文に規定する{3}*設置者*の能力を適切に*活用*しつつ、*相互に協調*しなければならない。,電気事業法第28条より,広域的運営/総合的運営/協力的運営/全域的運営,電気の安定供給/電源品質/安定した#経営基盤,特定自家用#電気工作物/分散型電源/小出力発電設備/事業用#電気工作物,,,,,,,
1,105,,特定自家用電気工作物,*供給勧告*の対象となる*特定自家用電気工作物*は{1}を*除く*、*出力*{2}の*発電用*の*自家用電気工作物*をいう。,電気事業法施行規則第45条の27（特定自家用電気工作物）より!電気の安定供給の確保に支障又はそのおそれ等の要件を満たした場合に、経済産業大臣は、まず、*電気事業者*に対する電気の*供給命令*を行うことができ、それでもなお足りないと認められる場合に初めて*特定自家用電気工作物設置者*に対する*供給勧告*を行うことができるとしている。,太陽電池発電設備#及び風力発電設備/風力発電設備#及び水力発電設備/燃料電池発電設備#及び水力発電設備/太陽電池発電設備#及び水力発電設備,1¥000kW以上/500kW以上/2¥000kW以上/50kW以上,,,,,,,,
1,50,,電気の供給不足,*経済産業大臣*は、電気の{1}を行わなければ電気の*供給の不足*が*国民経済*及び*国民生活*に悪影響を及ぼし{2}を阻害するおそれがあると認められるときは、その事態を克服するため必要な限度において、政令で定めるところにより、電気の*使用を制限*すべきこと又は*受電を制限*すべきことを*命じ*、又は*勧告*することができる。,電気事業法第34条より,需給の調整/使用の制限/供給力の確保,公共の利益/公共の安全/経済活動/事業の運営,,,,,,,,
1,51,1,電気の使用制限,*電気事業法第３４条*による*電気の使用の制限*は次による。!①*使用電力量*の限度又は*使用最大電力*の限度を定めてする制限は{1}の*受電電力の容量*で電気を使用する者について行う。!②*用途*を定めてする制限は{2}その他これらに類する用途について行う。!③*日時*を定めてする制限は{3}を限度として行う。,電気事業法施行令第4条（電気の使用制限等）より,500kW以上/1¥000kW以上/2¥000kW以上/3¥000kW以上,装飾用、広告用/業務用、動力用/照明用、電灯用,１週につき２日/１週につき１日/１週につき３日/１週につき４日,,,,,,,
1,52,,電気の受電制限,*電気事業法第３４条*による*電気の受電の制限*は{1}の*受電電力の容量*で電気の供給を受ける者について行う。,電気事業法施行令第4条（電気の使用制限等）より,3¥000kW以上/500kW以上/1¥000kW以上/2¥000kW以上,,,,,,,,,
1,60,1,電気工作物の定義（1）,「*一般用電気工作物*」とは、次に掲げる*電気工作物*をいう。!①{1}の*電圧で受電*するもの!②構内に設置する{2}|ただし、*次に掲げるものを除く*!①{2}*以外*の電気工作物を*同一構内*に設置するもの!②*受電のための電線路以外の電線路*により、その{3}にある電気工作物と電気的に*接続*されるもの!③*火薬類取締法*に規定する{4}を*製造*する事業場#※*煙火*を除く。!④*鉱山保安法施行規則*に規定する*石炭坑*,電気事業法第38条より,600V以下/300V以下/1¥000V以下/150V以下,小出力発電設備/小規模発電設備/家庭用蓄電池/非常用予備#発電装置,構内以外の場所/敷地内の屋外/造営物の屋上/造営物の屋内,火薬類/爆発物/危険物,,,,,,
1,61,,電気工作物の定義（2a）,「*事業用電気工作物*」とは、{1}*以外*の*電気工作物*をいう。,電気事業法第38条より,一般用#電気工作物/自家用#電気工作物/高圧受電設備/低圧受電設備,,,,,,,,,
1,62,,電気工作物の定義（2b）,*一般用電気工作物**以外*の*電気工作物*を何という？,電気事業法第38条より,事業用#電気工作物/自家用#電気工作物/特定#電気工作物,,,,,,,,,
1,63,,電気工作物の定義（3a）,「*自家用電気工作物*」とは、*電気事業の用に供する電気工作物*及び{1}*以外*の*電気工作物*をいう。,電気事業法第38条より!ただし、ここでいう*電気事業*は次に掲げる*事業*の用に供する*電気工作物*をいう。#①*一般送配電事業*#②*送電事業*#③*特定送配電事業*#④*発電事業*であつて、その*事業*の用に供する*発電用の電気工作物*が主務省令で定める*要件*に該当するもの,一般用#電気工作物/事業用#電気工作物/高圧受電設備/低圧受電設備,,,,,,,,,
1,64,,電気工作物の定義（3b）,*事業用電気工作物*のうち、*電気事業の用に供する電気工作物**以外*のものを何という？,電気事業法第38条より!ただし、ここでいう*電気事業*は次に掲げる*事業*の用に供する*電気工作物*をいう。#①*一般送配電事業*#②*送電事業*#③*特定送配電事業*#④*発電事業*であつて、その*事業*の用に供する*発電用の電気工作物*が主務省令で定める*要件*に該当するもの,自家用#電気工作物/特定事業用#電気工作物/供給用#電気工作物/配電用#電気工作物,,,,,,,,,
1,65,1,小出力発電設備(1),*太陽電池発電設備*において*小出力発電設備*は*出力*{1}のものをいう。,電気事業法施行規則第48条（一般用電気工作物の範囲）より,50kW未満/20kW未満/50kW以下/20kW以下,,,,,,,,,
1,66,,小出力発電設備(2),*風力発電設備*において*小出力発電設備*は*出力*{1}のものをいう。,電気事業法施行規則第48条（一般用電気工作物の範囲）より,20kW未満/10kW未満/50kW未満/30kW未満,,,,,,,,,
1,67,,小出力発電設備(3),*水力発電設備*において*小出力発電設備*は*出力*{1}のものをいう。!ただし、*最大使用水量*が{2}のもの及び{3}を伴うものを*除く*。,電気事業法施行規則第48条（一般用電気工作物の範囲）より,20kW未満/10kW未満/50kW未満/30kW未満,1 ㎥／s以上/3 ㎥／s以上/5 ㎥／s以上/10 ㎥／s以上,ダム/沈砂池/サージタンク/ヘッドタンク,,,,,,,
1,68,,小出力発電設備(4),*内燃力を原動力とする火力発電設備*において*小出力発電設備*は*出力*{1}のものをいう。,電気事業法施行規則第48条（一般用電気工作物の範囲）より,10kW未満/20kW未満/30kW未満/50kW未満,,,,,,,,,
1,69,,小出力発電設備(5),*燃料電池発電設備*において*小出力発電設備*は*出力*{1}で次の*いずれか*に該当するものをいう。!①{2}の*燃料電池発電設備*であって、*燃料・改質系統設備*の*最高使用圧力*が{3}のもの!②{4}に設置される*燃料電池発電設備*であって、*道路運送車両*の*保安基準*に*適合*するもの,*電気事業法施行規則第48条*（*一般用電気工作物の範囲*）より!①※*液体燃料*を通ずる部分にあっては*1.0MPa未満*のもの,10kW未満/20kW未満/30kW未満/50kW未満,固体高分子型又は#固体酸化物型/りん酸型又は#固体酸化物型/固体高分子型又は#溶融炭酸塩型/りん酸型又は#溶融炭酸塩型,0.1MPa未満/0.5MPa未満/1.0MPa未満/5.0MPa未満,自動車/自転車/電源車/緊急車両,,,,,,
1,70,,小出力発電設備(6),*スターリングエンジンで発生させた運動エネルギーを原動力とする発電設備*において*小出力発電設備*は*出力*{1}のものをいう。,*電気事業法施行規則第48条*（*一般用電気工作物の範囲*）より,10kW未満/20kW未満/30kW未満/50kW未満,,,,,,,,,
1,84,,小出力発電設備(7),*同一構内*に*複数*の*小出力発電設備*を設置する場合において、*出力の合計*が{1}となるものは*小出力発電設備*から*除かれる*。,電気事業法施行規則第48条（一般用電気工作物の範囲）より,50kW以上/20kW以上/50kW超過/20kW超過,,,,,,,,,
1,71,,電気工作物から除かれる工作物（1）,*鉄道営業法*、*軌道法*若しくは*鉄道事業法*が適用され若しくは準用される{1}は*電気工作物から除かれる*。,電気事業法施行令第1条（電気工作物から除かれる工作物）より,車両/駅舎,,,,,,,,,
1,72,,電気工作物から除かれる工作物（2）,*船舶安全法*が適用される{1}及び*海上自衛隊*の使用する{1}は*電気工作物から除かれる*。,電気事業法施行令第1条（電気工作物から除かれる工作物）より,船舶/蓄電池/原動機,,,,,,,,,
1,73,,電気工作物から除かれる工作物（3）,*道路運送車両法*に規定する{1}に設置される工作物であって、これらの*車両*、*搬器*、*船舶*及び*自動車以外の場所*に設置される電気的設備に電気を供給するためのもの*以外のもの*は*電気工作物から除かれる*。!（補足問題）#つまり、*移動電源車*は通常{2},電気事業法施行令第1条（電気工作物から除かれる工作物）より,自動車/緊急車両,電気工作物#扱いとなる/電気工作物#扱いとならない,,,,,,,,
1,74,,電気工作物から除かれる工作物（4）,*航空法*に規定する{1}に設置される工作物は*電気工作物から除かれる*。,電気事業法施行令第1条（電気工作物から除かれる工作物）より,航空機/ヘリコプター/飛行船,,,,,,,,,
1,75,1,電気工作物から除かれる工作物（5）,*電圧{1}未満*の*電気的設備*であって、*電圧{1}以上*の*電気的設備*と*電気的に接続されていないもの*は*電気工作物から除かれる*。,電気事業法施行令第1条（電気工作物から除かれる工作物）より,30V/60V/100V/150V,,,,,,,,,
1,80,,設置者の主な義務,電気事業法第３９条、第４２条、第４３条により、*事業用電気工作物を設置する者*には次のとおりの*義務*が課せられる。!①*電気事業法第３９条*より#{1}義務!②*電気事業法第４２条*より#{2}義務!③*電気事業法第４３条*より#{3}義務,,技術基準への#適合・維持/適切な施工管理/電気設備の#現状維持,保安規程の#届出・遵守/電気設備の#保守点検/電気設備の#計画的更新,主任技術者の#選任/設備管理者の#任命/保全部署の設置,,,,,,,
1,81a,1,電気事業法第３９条（a）,*事業用電気工作物を設置する者*は*事業用電気工作物*を*主務省令*で定める{1}に*適合*するように{2}しなければならない,電気事業法第39条（事業用電気工作物の維持）より,技術基準/保安規程/保安基準,維持/工事/点検/保守,,,,,,,,
1,81b,,電気事業法第３９条（b）,*{1}を設置する者*は{1}を*主務省令*で定める*技術基準*に*適合*するように*維持*しなければならない,電気事業法第39条（事業用電気工作物の維持）より,事業用電気工作物/自家用電気工作物/一般用電気工作物/電気工作物,,,,,,,,,
1,85,,主務省令で定める技術基準（1）,*主務省令で定める技術基準*は*事業用電気工作物*が{1}を及ぼし、又は{2}を与えないようにすること。,電気事業法第39条より,人体に危害/公衆に危害/人体に危険/公衆に危険,物件に損傷/造営物に損傷/環境に影響/公衆に影響,,,,,,,,
1,86,1,主務省令で定める技術基準（2）,*主務省令で定める技術基準*は*事業用電気工作物*が{1}その他の{2}に{3}な*障害*を与えないようにすること。,電気事業法第39条より,他の電気的設備/送配電設備/他の需要設備,物件の機能/設備の性能/設備の機能/物件の性能,電気的#又は磁気的/電気的#又は熱的/電気的#又は機械的,,,,,,,
1,87,,主務省令で定める技術基準（3）,*主務省令で定める技術基準*は*事業用電気工作物*の{1}により、*一般送配電事業者*の{2}に*著しい支障*を及ぼさないようにすること。,電気事業法第39条より,損壊/損傷/破壊/劣化,電気の供給/事業の運営/送配電系統運用,,,,,,,,
1,88,,主務省令で定める技術基準（4）,*主務省令で定める技術基準*は*事業用電気工作物*が*{1}の用に供される場合*にあっては、その*事業用電気工作物*の*損壊*によりその{1}に係る*電気の供給*に{2}を生じないようにすること。,電気事業法第39条より,一般送配電事業/送電事業/特定送配電事業/発電事業,著しい支障/致命的な障害/継続的な支障/著しい障害,,,,,,,,
1,99,,事業用電気工作物の技術基準適合命令,*主務大臣*は*事業用電気工作物*が*技術基準*に*適合していない*と認めるときは{1}に対し、その*技術基準*に適合するように*事業用電気工作物*を*修理*し、*改造*し、若しくは*移転*し、若しくは{2}すべきことを命じ、又は{3}することができる。,電気事業法第40条（技術基準適合命令）より,事業用電気工作物#を設置する者/電気主任技術者/電気設備#の管理者/管理会社#の代表者,その使用を#一時停止/その使用を#恒久的に停止/改修工事を計画/移転を計画,その使用を制限/その使用方法#を禁止/その使用方法#を指示/その使用を禁止,,,,,,,
1,82a,1,電気事業法第４２条（1a）,*事業用電気工作物を設置する者*は、*事業用電気工作物*の{1}に関する*保安を確保*するため、保安を*一体的*に確保することが必要な*事業用電気工作物*の*組織*ごとに{2}を定め、当該組織における*事業用電気工作物*の*使用の開始前*に、*主務大臣*に届け出なければならない。,電気事業法第42条（保安規程）より!ただし、*工事計画*の*認可*及び*届出*を伴うものにあっては*工事の開始前*に届出しなければならない。,工事、維持#及び運用/点検、検査#及び試験/工事、点検#及び運営/施工、維持#及び運用,保安規程/保安基準/点検基準/保守規程,,,,,,,,
1,82b,,電気事業法第４２条（1b）,*事業用電気工作物を設置する者*は、*事業用電気工作物*の*工事、維持及び運用*に関する{1}するため、保安を*一体的*に確保することが必要な*事業用電気工作物*の{2}ごとに*保安規程*を定め、当該組織における*事業用電気工作物*の{3}に、*主務大臣*に届け出なければならない。,電気事業法第42条（保安規程）より!ただし、*工事計画*の*認可*及び*届出*を伴うものにあっては*工事の開始前*に届出しなければならない。,保安を確保/品質を確保/業務を管理,組織/受電設備/建物/使用区域,使用の開始前/使用の開始後/工事の開始前/工事の開始後,,,,,,,
1,89,,電気事業法第４２条（2）,#{1}及び{2}は、*保安規程*を*守らなければならない*。,電気事業法第42条（保安規程）より,事業用電気工作物#を設置する者/電気主任技術者/電気設備#の管理者,その従業者/点検作業員/保安業務従事者/電気工事士,,,,,,,,
1,90,,電気事業法第４２条（3）,*事業用電気工作物を設置する者*は、*保安規程*を*変更したとき*は{1}変更した事項を*主務大臣*に*届け出なければならない*。,電気事業法第42条（保安規程）より,遅滞なく/30日以内に/10日以内に/速やかに,,,,,,,,,
1,91a,1,保安規程に定める事項（1a）,*需要設備*の*保安規程*には、*事業用電気工作物*の*工事、維持又は運用*に関する*業務を管理する者*の{1}に関することを定める。,電気事業法施行規則第50条（保安規程）より,職務及び組織/職務及び役職/組織及び役職,,,,,,,,,
1,91b,,保安規程に定める事項（1b）,*需要設備*の*保安規程*には、*事業用電気工作物*の*工事、維持又は運用*に関する{1}の*職務及び組織*に関することを定める。,電気事業法施行規則第50条（保安規程）より,業務を管理する者/業務に従事する者,,,,,,,,,
1,92a,,保安規程に定める事項（2a）,*需要設備*の*保安規程*には、*事業用電気工作物*の*工事、維持又は運用*に*従事する者*に対する{1}に関することを定める。,電気事業法施行規則第50条（保安規程）より,保安教育/安全衛生#特別教育,,,,,,,,,
1,92b,,保安規程に定める事項（2b）,*需要設備*の*保安規程*には、*事業用電気工作物*の*工事、維持又は運用*{1}に対する*保安教育*に関することを定める。,電気事業法施行規則第50条（保安規程）より,に従事する者/を管理する者/を監督する者,,,,,,,,,
1,93,,保安規程に定める事項（3）,*需要設備*の*保安規程*には、*事業用電気工作物*の*工事、維持及び運用*に関する*保安*のための{1}に関することを定める。,電気事業法施行規則第50条（保安規程）より,巡視、点検#及び検査/工事、施工#及び検査/点検、管理#及び監督,,,,,,,,,
1,94,,保安規程に定める事項（4）,*需要設備*の*保安規程*には、*事業用電気工作物*の{1}に関することを定める。,電気事業法施行規則第50条（保安規程）より,運転又は操作/運用又は保守,,,,,,,,,
1,95,,保安規程に定める事項（5）,*需要設備*の*保安規程*には、{1}を*相当期間停止*する場合における*保全*の方法に関することを定める。,電気事業法施行規則第50条（保安規程）より,発電所の運転/電気の需給/変電所の運転/電気の使用,,,,,,,,,
1,96,,保安規程に定める事項（6）,*需要設備*の*保安規程*には{1}に*採るべき措置*に関することを定める。,電気事業法施行規則第50条（保安規程）より,災害その他#非常の場合/感電、#火災の場合/地震、#水害の場合,,,,,,,,,
1,97,,保安規程に定める事項（7）,*需要設備*の*保安規程*には、*事業用電気工作物*の*工事、維持及び運用*に関する*保安についての{1}*に関することを定める。,電気事業法施行規則第50条（保安規程）より,記録/届出/決裁,,,,,,,,,
1,98,,保安規程に定める事項（8）,*需要設備*の*保安規程*には、*事業用電気工作物*の*法定事業者検査*又は*使用前自己確認*に係る{1}に関することを定める。,電気事業法施行規則第50条（保安規程）より,実施体制及び#記録の保存/検査員の#資格及び役職/業務委託/試験装置等,,,,,,,,,
1,83a,1,電気事業法第４３条（1a）,*事業用電気工作物を設置する者*は、*事業用電気工作物*の*工事、維持及び運用*に関する{1}をさせるため、*主任技術者*を*選任*しなければならない。!また、*自家用電気工作物を設置する者*は、*主任技術者免状*の*交付を受けていない者*を*主務大臣*の{2}を受けて、*主任技術者*として*選任*することができる。,電気事業法第43条（主任技術者）より!許可により選任する場合、選任する者の所有する*電気工事士資格*や*設備の規模*等により許可の基準が定められる。,保安の監督/保守業務/設備管理/組織運営,許可/認可/承認,,,,,,,,
1,83b,,電気事業法第４３条（1b）,*{1}を設置する者*は、*事業用電気工作物*の*工事、維持及び運用*に関する*保安の監督*をさせるため、{2}しなければならない。!また、*{3}を設置する者*は、*主任技術者免状*の*交付を受けていない者*を*主務大臣*の*許可*を受けて、*主任技術者*として*選任*することができる。,電気事業法第43条（主任技術者）より!許可により選任する場合、選任する者の所有する*電気工事士資格*や*設備の規模*等により許可の基準が定められる。,事業用電気工作物/自家用電気工作物/一般用電気工作物/電気工作物,主任技術者を選任/保安管理業務#を外部委託/主任技術者と契約/主任技術者を雇用,自家用電気工作物/事業用電気工作物/一般用電気工作物/電気工作物,,,,,,,
1,100,,電気事業法第４３条（2）,*事業用電気工作物を設置する者*は、*主任技術者*を*選任*したときは{1}その旨を*主務大臣*に*届け出なければならない*。#これを*解任*したときも、同様とする。,電気事業法第43条（主任技術者）より,遅滞なく/速やかに/30日以内に/48時間以内に,,,,,,,,,
1,101,,電気事業法第４３条（3）,*主任技術者*は、*事業用電気工作物*の*工事、維持及び運用*に関する*{1}の職務*を{2}に行わなければならない。,電気事業法第43条（主任技術者）より,保安の監督/電気設備点検/設備の管理/設備の保全,誠実/確実/円滑,,,,,,,,
1,102,,電気事業法第４３条（4）,*事業用電気工作物*の*工事、維持又は運用*{1}は、*主任技術者*がその*保安*のためにする*指示*に従わなければならない。,電気事業法第43条（主任技術者）より,に従事する者/を管理する者,,,,,,,,,
