テーマＩＤ,問題ＩＤ,タイトル,問題本文,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
1,26,電気事故報告の期限,電気関係報告規則第３条より#*電気事業者*又は*自家用電気工作物を設置する者*は、報告対象の事故が発生したときは、事故の{1}時から{2}時間以内、可能な限り速やかに事故の発生の日時及び場所、事故が発生した電気工作物並びに事故の概要について、電話等の方法により報告する。λ事故の{3}日から起算して{4}日以内に電気事故の報告書を提出する。,発生を知った/発生した/事後処理が#完了した,２４/４８/１２/７２,発生を知った/発生した/事後処理が#完了した,３０/６０/１０/２０,,,,,,
1,27,電気事故報告対象抜粋１,電気関係報告規則第３条より、*所轄産業保安監督部長*への報告対象（抜粋）λ①人が*死傷*した事故#ただし、*死亡*又は病院等に{1}した場合に限る。λ②電気火災事故#ただし、工作物にあっては、{2}の場合に限る。λ③電気工作物に係る{3}に影響を及ぼした事故,入院/通院,半焼以上/部分焼以上/全焼,社会的/各方面/公共,,,,,,,
1,28,電気事故報告対象抜粋２,電気関係報告規則第３条より、*所轄産業保安監督部長*への報告対象（抜粋）λ①他の物件に{1}を与え、又はその{2}の全部又は一部を損なわせた事故λ②送配電事業の用に供する電気工作物と電気的に接続されている電圧{3}[V]以上の自家用電気工作物の*破損*又は自家用電気工作物の{4}若しくは自家用電気工作物を{5}ことにより*一般送配電事業者*又は*特定送配電事業者*に{6}を発生させた事故,損傷/損害/被害/危害,機能/性能/設備,３０００/６０００/６００/１０００,誤操作/経年劣化/施工不良,操作しない/点検しない/更新しない/開放しない,供給支障/損害/停電/設備の損壊,,,,
1,29,電気事故報告対象抜粋３,電気関係報告規則第３条より#*所轄産業保安監督部長*への報告対象（抜粋）λ①出力{1}[kW]以上の*太陽電池発電所*の破損事故λ②出力{2}[kW]以上の*風力発電所*の破損事故λ③電圧{3}[V]以上の*需要設備*の破損事故,５０/５００/１０００/２０００,２０/５０/５００/２０００,１００００/６０００/３０００/５００００,,,,,,,
1,30,用語の定義１,「*電路*」とは#{1}で電気が通じているところをいう。,通常の使用状態/電線/安定した状態/固定した状態,,,,,,,,,
1,31,用語の定義２,「*発電所*」とは#*発電機*、*原動機*、*燃料電池*、*太陽電池*等を施設して電気を発生させる所をいう。ただし、次のものを除く。λ{1}設備λ{2}を得る目的で施設するものλ*電気用品安全法*の適用を受ける{3},小出力発電/小規模な発電/独立した発電,非常用予備電源/売電収入/余剰電力,携帯発電機/蓄電池/燃料電池,,,,,,,
1,32,用語の定義３,「変電所」とは#{1}から伝送される電気を構内に施設した*変圧器*、*回転変流機*、*整流器*等により{2}する所であって、変成した電気をさらに{3}ものをいう。,構外/構内/送電線/発電所,変成/変圧/変流/変換,構外に伝送する/別の変電所#に伝送する/需要家に配電する,,,,,,,
1,33,用語の定義４,水を扱う場所若しくは雨露にさらされる場所その他水滴が飛散する場所、又は常時水が漏出し若しくは結露する場所をなんというか？,水気のある場所/湿気の多い場所/乾燥した場所,,,,,,,,,
1,34,用語の定義５,水蒸気が充満する場所又は湿度が著しく高い場所をなんというか？,湿気の多い場所/水気のある場所/乾燥した場所,,,,,,,,,
1,35,用語の定義６,*湿気の多い場所*及び*水気のある場所*以外の場所をなんというか？,乾燥した場所/湿気のない場所/水気のない場所/危険のない場所,,,,,,,,,
1,36,用語の定義７,「*電線*」とは#{1}の伝送に使用する電気導体等をいう。,強電流/電流/電圧/電力,,,,,,,,,
1,37,用語の定義８,「*調相設備*」とは#{1}を調整する電気機械器具をいう。,無効電力/力率/位相/皮相電力,,,,,,,,,
1,38,用語の定義９,電技第２条第１項より#電圧の種別については次のとおり。λ「低圧」は#交流{1}[V]以下#直流{2}[V]以下λ「高圧」は#{3}[V]以下λ「特別高圧」は#{3}[V]超過,６００/７５０/１０００/３００,７５０/６００/１０００/３００,７０００/３０００/１００００/１０００,,,,,,,
1,39,用語の定義１０,「*使用電圧*（*公称電圧*）」とは#電路を代表する{1}をいう。,線間電圧/対地電圧,,,,,,,,,
1,40,用語の定義１１,電気事業法の要件に該当する発電事業を営む者以外の者が設置する発電設備等であって、一般送配電事業者が運用する電力系統に連系するものをなんというか？,分散型電源/小出力発電設備/再エネ電源/事業者電源,,,,,,,,,
1,41,用語の定義１２,「逆潮流」とは#分散型電源設置者の構内から、一般送配電事業者が運用する電力系統側へ向かう{1}の流れをいう。,有効電力/無効電力/電力/電流,,,,,,,,,
1,42,用語の定義１３,「*単独運転*」とは#分散型電源を連系している電力系統が事故等によって系統電源と切り離された状態において、当該分散型電源が{1}し、線路負荷に{2}状態をいう。,発電を継続/電力系統を加圧し/解列/独立,有効電力を#供給している/無効電力を#供給している/有効電力を#供給していない/無効電力を#供給していない,,,,,,,,
1,43,用語の定義１４,「*逆充電*」とは#分散型電源を連系している電力系統が事故等によって系統電源と切り離された状態において、分散型電源のみが、{1}し、かつ、当該電力系統へ{2}状態をいう。,電力系統を加圧し/発電を継続/解列/独立,有効電力を#供給していない/有効電力を#供給している/無効電力を#供給している/無効電力を#供給していない,,,,,,,,
